,molecule_chembl_id,canonical_smiles,classe_bioatividade,standard_value
3072,CHEMBL4764888,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,Inactive,19952.62
3073,CHEMBL1615438,C[C@@H]1CN([C@H]2CC[C@](C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1,Inactive,20000.0
3074,CHEMBL1615438,C[C@@H]1CN([C@H]2CC[C@](C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1,Inactive,19952.62
3075,CHEMBL162243,CC[C@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,Inactive,20000.0
3076,CHEMBL162243,CC[C@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,Inactive,19952.62
3077,CHEMBL1201312,C[C@H]1CN([C@H]2CC[C@](C#N)(c3ccc(F)cc3)CC2)CC[C@@]1(C(=O)O)c1ccccc1,Inactive,20000.0
3078,CHEMBL1201312,C[C@H]1CN([C@H]2CC[C@](C#N)(c3ccc(F)cc3)CC2)CC[C@@]1(C(=O)O)c1ccccc1,Inactive,19952.62
3079,CHEMBL1315492,C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C,Inactive,20000.0
3080,CHEMBL1315492,C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C,Inactive,19952.62
3081,CHEMBL131,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,Inactive,20000.0
3082,CHEMBL131,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,Inactive,19952.62
3083,CHEMBL4746077,COc1cc(C)c2c(c1C=O)Oc1c(c(C)c(O)c3c1[C@H](O)OC3=O)OC2=O,Inactive,20000.0
3084,CHEMBL4746077,COc1cc(C)c2c(c1C=O)Oc1c(c(C)c(O)c3c1[C@H](O)OC3=O)OC2=O,Inactive,19952.62
3085,CHEMBL4754596,CCN1C[C@]2(COC)CC[C@H](O)[C@]34C5C[C@@H]6[C@@H](OC)C[C@@](O)(C5[C@H]6OC)[C@@](O)([C@H]13)[C@@H](OC)C24,Inactive,20000.0
