,molecule_chembl_id,canonical_smiles,classe_bioatividade,standard_value
2742,CHEMBL3970532,Cc1ccc(C(=O)NCCCCCC(=O)Nc2ccccc2N)cc1,Inactive,19952.62
2743,CHEMBL539697,CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,Inactive,20000.0
2744,CHEMBL539697,CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,Inactive,19952.62
2745,CHEMBL3989944,COC(=O)/C=C/C(=O)OCCN1C(=O)CCC1=O,Inactive,20000.0
2746,CHEMBL3989944,COC(=O)/C=C/C(=O)OCCN1C(=O)CCC1=O,Inactive,19952.62
2747,CHEMBL2005186,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,Inactive,20000.0
2748,CHEMBL2005186,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,Inactive,19952.62
2749,CHEMBL2105669,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COP(=O)(O)O)OC4=O)cc3F)cn2)n1,Inactive,20000.0
2750,CHEMBL2105669,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COP(=O)(O)O)OC4=O)cc3F)cn2)n1,Inactive,19952.62
2751,CHEMBL4795126,CC(C(=O)O)C1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,Inactive,20000.0
2752,CHEMBL4795126,CC(C(=O)O)C1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,Inactive,19952.62
2753,CHEMBL1512677,CCCCCc1ccc(C)cc1O,Inactive,20000.0
2754,CHEMBL1512677,CCCCCc1ccc(C)cc1O,Inactive,19952.62
2755,CHEMBL2178578,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1,Inactive,20000.0
